region_id,patient_id,dataset,n_cells,tumor_high_score_used,tumor_high_label_v2,cd8_high_score_used,cd8_high_label_v2,cd8_clustering_score_used,cd8_clustering_label_v2,tumor_stroma_mixing_score_used,tumor_stroma_mixing_label_v2,interface_immune_score_used,interface_immune_label_v2,immune_exclusion_score_used,immune_exclusion_label_v2
UPMC_c001_v001_r001_reg001,67653.0,UPMC_HNC,4360.0,0.4951834862385321,1.0,0.0295871559633027,0.0,0.005457564424449,,0.0121114002536077,1.0,-0.0031112792152824,,-0.0162436809632665,
UPMC_c001_v001_r001_reg002,67651.0,UPMC_HNC,6960.0,0.6214080459770115,1.0,0.0198275862068965,0.0,-0.0046320488147394,,-0.0475361521797167,0.0,0.0028236068492827,,0.432027456118705,1.0
UPMC_c001_v001_r001_reg004,67629.0,UPMC_HNC,7061.0,0.6045885851862343,1.0,0.0887976207336071,1.0,-0.0156762591046352,,-0.003996537727334,,0.0094837251679907,,-0.0775798171670809,
UPMC_c001_v001_r001_reg019,67674.0,UPMC_HNC,3830.0,0.597911227154047,1.0,0.0240208877284595,0.0,-0.0236163011651578,0.0,0.0283537054027707,1.0,-0.1219391445210382,0.0,-0.1576471722700849,0.0
UPMC_c001_v001_r001_reg018,67663.0,UPMC_HNC,5880.0,0.6362244897959184,1.0,0.0136054421768707,0.0,-0.0025543788855679,,-0.0068176847558729,,0.0287699385519898,,0.1662866694441651,1.0
UPMC_c001_v001_r001_reg031,67694.0,UPMC_HNC,5155.0,0.6032977691561591,1.0,0.0110572259941804,0.0,-0.0157038514160656,,0.0211368541839867,1.0,-0.1763700362497911,0.0,-0.1528656147985009,0.0
UPMC_c001_v001_r001_reg038,67653.0,UPMC_HNC,3147.0,0.328884652049571,0.0,0.0384493168096599,0.0,-0.0059589329069508,,-0.0001541356500806,,-0.1110481713503535,0.0,0.1003560813862665,1.0
UPMC_c002_v001_r001_reg003,67653.0,UPMC_HNC,5231.0,0.3318677117186006,0.0,0.0194991397438348,0.0,-0.0247955475349956,0.0,-0.0270319687353243,0.0,-0.1167700002106872,0.0,-0.0196523331319542,
UPMC_c002_v001_r001_reg011,67625.0,UPMC_HNC,5382.0,0.6179858788554441,1.0,0.0334448160535117,0.0,-0.0273639137036409,0.0,0.0074350612357712,,-0.1442278713441645,0.0,-0.1414042039978474,0.0
UPMC_c002_v001_r001_reg034,67651.0,UPMC_HNC,1993.0,0.4952333166081284,1.0,0.0436527847466131,0.0,0.0855005430798107,1.0,-0.0175425841899949,0.0,0.0455398513708304,,0.010739553088188,
UPMC_c003_v001_r001_reg013,67683.0,UPMC_HNC,3282.0,0.2379646556977452,0.0,0.0673369896404631,1.0,-0.0087722314675287,,0.0337425405783437,1.0,0.0328113905947471,,0.0824719883309194,1.0
UPMC_c003_v001_r001_reg020,67673.0,UPMC_HNC,5508.0,0.3071895424836601,0.0,0.0942265795206971,1.0,0.04728703472749,1.0,0.0091532771920113,,0.0052742563515322,,-0.0694016567253052,
UPMC_c003_v001_r001_reg029,67680.0,UPMC_HNC,9019.0,0.1786229071959197,0.0,0.0673023616808958,1.0,-0.0194450952333035,0.0,0.0361034612561909,1.0,-0.0945515037338712,0.0,-0.1823170685140164,0.0
UPMC_c003_v001_r001_reg034,67666.0,UPMC_HNC,3780.0,0.3515873015873016,0.0,0.0518518518518518,0.0,-0.0072929048167287,,0.0328729614512976,1.0,-0.140567493791941,0.0,-0.1703576702977754,0.0
UPMC_c004_v001_r001_reg009,67643.0,UPMC_HNC,12960.0,0.4574845679012346,1.0,0.1035493827160493,1.0,-0.0027113315486995,,0.0005729558561939,,0.0146046836141577,,-0.0480676842765508,
UPMC_c004_v001_r001_reg015,67688.0,UPMC_HNC,6326.0,0.1417957635156497,0.0,0.1313626304141637,1.0,-0.0078356347826375,,0.0286076547613575,1.0,0.0060285046121602,,-0.0631764271038264,
UPMC_c004_v001_r001_reg046,67689.0,UPMC_HNC,6219.0,0.3918636436726161,0.0,0.0765396365975237,1.0,0.003716190487794,,-0.0116521958377734,0.0,0.0761003955501392,1.0,0.1840438423427906,1.0
UPMC_c004_v001_r001_reg057,67623.0,UPMC_HNC,6652.0,0.2366205652435357,0.0,0.1144016837041491,1.0,-0.0067631699483941,,-0.0091480269333126,0.0,0.0054473763129916,,-0.0427099448973375,
UPMC_c005_v001_r001_reg015,67664.0,UPMC_HNC,4067.0,0.5984755347922301,1.0,0.0924514384066879,1.0,0.1222695582057378,1.0,0.0346796295591351,1.0,-0.0383667325889314,,-0.0645435813788724,
UPMC_c005_v001_r001_reg038,67691.0,UPMC_HNC,4733.0,0.3712233255863089,0.0,0.0517642087470948,0.0,-0.014503057513533,,0.0315881077613728,1.0,-0.1152610010891198,0.0,-0.1280589214061219,0.0
UPMC_c005_v001_r001_reg053,67636.0,UPMC_HNC,7392.0,0.3361742424242424,0.0,0.051271645021645,0.0,0.0080819967318566,1.0,-0.0177614707113862,0.0,0.3977222294701042,1.0,0.230807840374093,1.0
UPMC_c006_v001_r001_reg060,67648.0,UPMC_HNC,15317.0,0.4483253900894431,1.0,0.0660703793170986,1.0,-0.0108425647660114,,0.0039231095426925,,-0.1544152907688597,0.0,-0.1613093133577587,0.0
UPMC_c001_v001_r001_reg005,67683.0,UPMC_HNC,5231.0,0.2913400879372969,0.0,0.0917606576180462,1.0,-0.0010572570314853,,-0.005878455642953,,0.031148459203972,,-0.0267113741824604,
UPMC_c001_v001_r001_reg006,67657.0,UPMC_HNC,4261.0,0.695611358835954,1.0,0.0161933818352499,0.0,0.0030071414301894,,0.0187368007006171,1.0,-0.0472185239898951,,-0.152998599573691,0.0
UPMC_c001_v001_r001_reg007,67650.0,UPMC_HNC,5229.0,0.3864983744501817,0.0,0.0447504302925989,0.0,0.0014484685414439,,-0.0364280461073128,0.0,-0.0556530814229653,,0.0188164350967728,
UPMC_c001_v001_r001_reg008,67630.0,UPMC_HNC,5024.0,0.4510350318471338,1.0,0.0222929936305732,0.0,0.0001627009689449,,0.0253865181341039,1.0,-0.1441645441221795,0.0,-0.0410234942189125,
UPMC_c001_v001_r001_reg009,67639.0,UPMC_HNC,6211.0,0.3018837546288842,0.0,0.0771212365158589,1.0,0.0366541212687365,1.0,-0.0190814303165451,0.0,0.0924784658678205,1.0,0.2181454910022494,1.0
UPMC_c001_v001_r001_reg017,67622.0,UPMC_HNC,8917.0,0.2214870472131883,0.0,0.1007065156442749,1.0,0.020378412359392,1.0,0.0233163571660536,1.0,-0.0051189128097439,,-0.1092810693257982,
UPMC_c001_v001_r001_reg016,67695.0,UPMC_HNC,4704.0,0.2525510204081632,0.0,0.0703656462585034,1.0,-0.0180911603396364,0.0,0.0201761535013039,1.0,-0.1170722214932712,0.0,-0.1235959783283904,0.0
UPMC_c001_v001_r001_reg015,67681.0,UPMC_HNC,4953.0,0.3745204926307288,0.0,0.0377548960226125,0.0,-0.0141863558098336,,-0.0342636519862872,0.0,0.3364222301308904,1.0,0.1706424094073521,1.0
UPMC_c001_v001_r001_reg014,67639.0,UPMC_HNC,6538.0,0.3271642704190884,0.0,0.0646986846130315,1.0,0.0150593508043487,1.0,0.0094027660540229,1.0,-0.1653330233426749,0.0,-0.1681204237843562,0.0
UPMC_c001_v001_r001_reg013,67694.0,UPMC_HNC,1491.0,0.5345405767940979,1.0,0.0429242119382964,0.0,0.0609577700836554,1.0,0.0087406950141817,,0.3903741919440276,1.0,-0.147052785371762,0.0
UPMC_c001_v001_r001_reg012,67622.0,UPMC_HNC,6985.0,0.3660701503221188,0.0,0.0896206156048675,1.0,-0.0025331178975783,,0.0020683976151022,,0.1056363070854697,1.0,0.1589219609905462,1.0
UPMC_c001_v001_r001_reg011,67697.0,UPMC_HNC,3553.0,0.5555868280326485,1.0,0.0351815367295243,0.0,-0.0100020432744444,,0.0056452988850017,,0.0266978872979546,,-0.0881071160311684,
UPMC_c001_v001_r001_reg010,67654.0,UPMC_HNC,6073.0,0.2748229869916022,0.0,0.029968713979911,0.0,-0.0147312865076499,,0.0136941380368257,1.0,-0.1276306789646268,0.0,-0.1656598473554822,0.0
UPMC_c001_v001_r001_reg020,67680.0,UPMC_HNC,6075.0,0.5596707818930041,1.0,0.022716049382716,0.0,-0.0134511108733705,,0.0120262783003211,1.0,0.0036016804437915,,-0.1772263138816207,0.0
